"date","from","to","action_team","notes"
"2018-12-07","George Hill","Matthew Dellavedova / Matt Dellavedova","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","George Hill","John Henson","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","George Hill","draft pick(s) (first round protected top 14 in 2021 if Bucks send first round pick to Suns in 2019, top 10 in 2022 if Bucks send first round pick to Suns in 2020, top 10 in 2023, top 8 in 2024, else 2024 second round pick, 2025 second round pick) (?-?)","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","George Hill","2021 second round pick (?-?)","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","Jason Smith","Matthew Dellavedova / Matt Dellavedova","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","Jason Smith","John Henson","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","Jason Smith","draft pick(s) (first round protected top 14 in 2021 if Bucks send first round pick to Suns in 2019, top 10 in 2022 if Bucks send first round pick to Suns in 2020, top 10 in 2023, top 8 in 2024, else 2024 second round pick, 2025 second round pick) (?-?)","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","Jason Smith","2021 second round pick (?-?)","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","modification of protection on 2020 second round pick previously acquired from Wizards (pick now unprotected)","Matthew Dellavedova / Matt Dellavedova","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","modification of protection on 2020 second round pick previously acquired from Wizards (pick now unprotected)","John Henson","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","modification of protection on 2020 second round pick previously acquired from Wizards (pick now unprotected)","draft pick(s) (first round protected top 14 in 2021 if Bucks send first round pick to Suns in 2019, top 10 in 2022 if Bucks send first round pick to Suns in 2020, top 10 in 2023, top 8 in 2024, else 2024 second round pick, 2025 second round pick) (?-?)","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","modification of protection on 2020 second round pick previously acquired from Wizards (pick now unprotected)","2021 second round pick (?-?)","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","2021 second round pick (from Cavaliers) (?-?)","Matthew Dellavedova / Matt Dellavedova","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","2021 second round pick (from Cavaliers) (?-?)","John Henson","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","2021 second round pick (from Cavaliers) (?-?)","draft pick(s) (first round protected top 14 in 2021 if Bucks send first round pick to Suns in 2019, top 10 in 2022 if Bucks send first round pick to Suns in 2020, top 10 in 2023, top 8 in 2024, else 2024 second round pick, 2025 second round pick) (?-?)","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","2021 second round pick (from Cavaliers) (?-?)","2021 second round pick (?-?)","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","cash (from Wizards)","Matthew Dellavedova / Matt Dellavedova","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","cash (from Wizards)","John Henson","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","cash (from Wizards)","draft pick(s) (first round protected top 14 in 2021 if Bucks send first round pick to Suns in 2019, top 10 in 2022 if Bucks send first round pick to Suns in 2020, top 10 in 2023, top 8 in 2024, else 2024 second round pick, 2025 second round pick) (?-?)","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","cash (from Wizards)","2021 second round pick (?-?)","Bucks","3-team trade with Cavaliers, Wizards"
"2018-12-07","Matthew Dellavedova / Matt Dellavedova","Sam Dekker","Cavaliers","3-team trade with Bucks, Wizards"
"2018-12-07","Matthew Dellavedova / Matt Dellavedova","2021 second round pick (?-?)","Cavaliers","3-team trade with Bucks, Wizards"
"2018-12-07","John Henson","Sam Dekker","Cavaliers","3-team trade with Bucks, Wizards"
"2018-12-07","John Henson","2021 second round pick (?-?)","Cavaliers","3-team trade with Bucks, Wizards"
"2018-12-07","draft pick(s) (from Bucks) (first round protected top 14 in 2021 if Bucks sends first round pick to Suns in 2019, top 10 in 2022 if Bucks send first round pick to Suns in 2020, top 10 in 2023, top 8 in 2024, else 2024 second round pick, 2025 second round pick) (?-?)","George Hill","Cavaliers","3-team trade with Bucks, Wizards"
"2018-12-07","draft pick(s) (from Bucks) (first round protected top 14 in 2021 if Bucks sends first round pick to Suns in 2019, top 10 in 2022 if Bucks send first round pick to Suns in 2020, top 10 in 2023, top 8 in 2024, else 2024 second round pick, 2025 second round pick) (?-?)","Sam Dekker","Cavaliers","3-team trade with Bucks, Wizards"
"2018-12-07","draft pick(s) (from Bucks) (first round protected top 14 in 2021 if Bucks sends first round pick to Suns in 2019, top 10 in 2022 if Bucks send first round pick to Suns in 2020, top 10 in 2023, top 8 in 2024, else 2024 second round pick, 2025 second round pick) (?-?)","2021 second round pick (?-?)","Cavaliers","3-team trade with Bucks, Wizards"
"2018-12-07","2021 second round pick (from Bucks) (?-?)","George Hill","Cavaliers","3-team trade with Bucks, Wizards"
"2018-12-07","2021 second round pick (from Bucks) (?-?)","Sam Dekker","Cavaliers","3-team trade with Bucks, Wizards"
"2018-12-07","2021 second round pick (from Bucks) (?-?)","2021 second round pick (?-?)","Cavaliers","3-team trade with Bucks, Wizards"
"2018-12-07","2022 second round pick (from Wizards) (?-?)","George Hill","Cavaliers","3-team trade with Bucks, Wizards"
"2018-12-07","2022 second round pick (from Wizards) (?-?)","Sam Dekker","Cavaliers","3-team trade with Bucks, Wizards"
"2018-12-07","2022 second round pick (from Wizards) (?-?)","2021 second round pick (?-?)","Cavaliers","3-team trade with Bucks, Wizards"
"2018-12-07","Sam Dekker","Jason Smith","Wizards","3-team trade with Bucks, Cavaliers"
"2018-12-07","Sam Dekker","modification of protection on 2020 second round pick previously traded to Bucks (pick now unprotected)","Wizards","3-team trade with Bucks, Cavaliers"
"2018-12-07","Sam Dekker","2022 second round pick (?-?)","Wizards","3-team trade with Bucks, Cavaliers"
"2018-12-07","Sam Dekker","cash","Wizards","3-team trade with Bucks, Cavaliers"
"2018-12-17","Kelly Oubre Jr.","Trevor Ariza","Suns","trade with Wizards"
"2018-12-17","Austin Rivers","Trevor Ariza","Suns","trade with Wizards"
"2019-01-03","MarShon Brooks","Justin Holiday","Bulls","trade with Grizzlies"
"2019-01-03","Wayne Selden Jr.","Justin Holiday","Bulls","trade with Grizzlies"
"2019-01-03","2019 second round pick (?-?)","Justin Holiday","Bulls","trade with Grizzlies"
"2019-01-03","2020 second round pick (?-?)","Justin Holiday","Bulls","trade with Grizzlies"
"2019-01-07","Michael Carter-Williams","2020 second round pick (protected top 55) (?-?)","Bulls","trade with Rockets"
"2019-01-07","cash","2020 second round pick (protected top 55) (?-?)","Bulls","trade with Rockets"
"2019-01-22","Carmelo Anthony","rights to Tadija Dragicevic","Bulls","trade with Rockets"
"2019-01-22","rights to Jon Diebler","rights to Tadija Dragicevic","Bulls","trade with Rockets"
"2019-01-22","cash","rights to Tadija Dragicevic","Bulls","trade with Rockets"
